field,type,max_chars,description
AQDNOX01,text,8,"Identifies which device created the packet"
packet_length,unsigned_int,3,"the length of the packet (not including all characters up-to the comma which follows this number)"
utc_time,unsigned_int,10,"the valid time for this packet (usually 1 second behind actual time)"
aqd_no_conc,double_float,10,"nitrous oxide concentration"
aqd_no2_conc,double_float,10,"nitrous dioxide concentration"
aqd_nox_conc,double_float,10,"NOX concentration"

