ParameterIdentifier,ParameterName,DisplayText,DisplayUnits,GroupID,Icon,Tooltip,Visible?
611,chtsoo01_concentration,SO2 CONC (TECO),(ppb)
612,chtsoo01_ten_min_so2,10MIN AVG SO2 CONC (TECO),(ppb)
613,chtsoo01_eight_hr_so2,8HR AVG SO2 CONC (TECO),(ppb)
619,cabin_pressure,CABIN PRESSURE,(mb)
620,aerack01_neph_pressure,NEPH PRESSURE,(mb)
621,aerack01_neph_temp,NEPH TEMPERATURE,(K)
622,aerack01_neph_total_blue,NEPH BLUE SP,(Mm-1)
623,aerack01_neph_total_green,NEPH GREEN SP,(Mm-1)
624,aerack01_neph_total_red,NEPH RED SP,(Mm-1)
625,aerack01_neph_backscatter_blue,NEPH BLUE BSP,(Mm-1)
626,aerack01_neph_backscatter_green,NEPH GREEN BSP,(Mm-1)
627,aerack01_neph_backscatter_red,NEPH RED BSP,(Mm-1)
628,aerack01_neph_humidity,NEPH HUMIDITY,(m-1)
629,aerack01_neph_status,NEPH STATUS,(m-1)
630,aerack01_neph_mode,NEPH MODE,(0123)
631,aerack01_neph_inst_time,NEPH INSTRUMENT TIME,(utc)
632,cpc37801_counts,CPC 3786 COUNTS,(counts)
655,theta_w,THETA W,(K)
657,aqdnox01_aqd_no_conc,NO CONC (AQD),(ppt)
658,aqdnox01_aqd_no2_conc,NO2 CONC (AQD),(ppt)
659,aqdnox01_aqd_nox_conc,NOx CONC (AQD),(ppt)
660,nevzorov_liquid_water,LIQUID WATER (NEVZOROV),(g m-3)
661,nevzorov_total_water,TOTAL WATER (NEVZOROV),(g m-3)
662,gin_latitude,LATITUDE (GIN),(deg +ve N)
663,gin_longitude,LONGITUDE (GIN),(deg +ve E)
664,gin_altitude,ALTITUDE (GIN),(m)
665,gin_n_velocity,N VELOCITY (GIN),(m s-1)
666,gin_e_velocity,E VELOCITY (GIN),(m s-1)
667,gin_d_velocity,D VELOCITY (GIN),(m s-1)
668,gin_roll,ROLL (GIN),(deg)
669,gin_pitch,PITCH (GIN),(deg)
670,gin_heading,HEADING (GIN),(deg)
671,gin_wander_angle,WANDER ANGLE (GIN),(deg)
672,gin_track_angle,TRACK ANGLE (GIN),(deg)
673,gin_speed,SPEED (GIN),(m s-1)
674,gin_rate_about_long,RATE ABOUT LONG (GIN),(deg s-1)
675,gin_rate_about_trans,RATE ABOUT TRANS (GIN),(deg s-1)
676,gin_rate_about_down,RATE ABOUT DOWN (GIN),(deg s-1)
677,gin_acc_long,ACC LONG (GIN),(m s-2)
678,gin_acc_trans,ACC TRANS (GIN),(m s-2)
679,gin_acc_down,ACC DOWN (GIN),(m s-2)
700,prtaft01_jci140_signal,CORE STATIC SENSOR,(counts)
701,prtaft01_jci140_range,CORE STATIC RANGE,(counts)
702,zeus0001_zeus_efield,ZEUS STATIC SENSOR,(counts)
703,corcon01_fast_temp,FAST TEMP RAW,(counts)
900,twcdat01_twc_detector,TWC DETECTOR,(arb)
901,wvss2a01_vmr,WVSS2A VMR,(ppm)
902,wvss2b01_vmr,WVSS2B VMR,(ppm)
903,chfgga01_ch4_dry,CH4 MMR (FGGA),(ppb)
904,chfgga01_co2_dry,CO2 MMR (FGGA),(ppm)
905,chfgga01_h2o,H2O MMR (FGGA),(ppm)
910,cabozo01_conc,IN CABIN OZONE CONC (2BTECH),(ppb)
911,cabozo01_temp,IN CABIN OZONE TEMP (2BTECH),(degC)
912,cabozo01_press,IN CABIN OZONE PRESS (2BTECH),(mb)
913,cabozo01_flow,IN CABIN OZONE FLOW (2BTECH),(sccm)
914,cabozo01_threehr_oz,IN CAB OZONE 3HR AVG (2BTECH),(ppb)
920,twbozo01_conc,AMBIENT OZONE CONC (2BTECH),(ppb)
921,twbozo01_temp,AMBIENT OZONE TEMP (2BTECH),(degC)
922,twbozo01_press,AMBIENT OZONE PRESS (2BTECH),(mb)
923,twbozo01_flow,AMBIENT OZONE FLOW (2BTECH),(sccm)
930,corcon01_di_temp,DI TEMP (RAW),(counts)
931,wvss2a_tdew,WVSS2A (flush) TDEW,(deg C)
932,wvss2b_tdew,WVSS2B (rosemount) TDEW,(deg C)
940,acloud01_aimms_temperature ,AIMMS TEMPERATURE,(deg C),,,,
941,acloud01_aimms_rh,AIMMS RELATIVE HUMIDITY,(%),,,,
942,acloud01_aimms_pressure ,AIMMS PRESSURE,(mBar),,,,
943,acloud01_aimms_wind_flow_n,AIMMS WIND FLOW NORTH,(m s-1),,,,
944,acloud01_aimms_wind_flow_e,AIMMS WIND FLOW EAST,(m s-1),,,,
945,acloud01_aimms_wind_speed,AIMMS WIND SPEED,(m s-1),,,,
946,acloud01_aimms_wind_direction,AIMMS WIND DIRECTION,(deg),,,,
947,acloud01_aimms_latitude,AIMMS LATITUDE,(deg),,,,
948,acloud01_aimms_longitude,AIMMS LONGITUDE,(deg),,,,
949,acloud01_aimms_altitude,AIMMS ALTITUDE,(m),,,,
950,acloud01_aimms_velocity_n,AIMMS VELOCITY NORTH,(m s-1),,,,
951,acloud01_aimms_velocity_e ,AIMMS VELOCITY EAST,(m s-1),,,,
952,acloud01_aimms_velocity_d,AIMMS VELOCITY DOWN,(m s-1),,,,
953,acloud01_aimms_roll,AIMMS ROLL,(deg),,,,
954,acloud01_aimms_pitch,AIMMS PITCH,(deg),,,,
955,acloud01_aimms_yaw,AIMMS YAW,(deg),,,,
956,acloud01_aimms_tas,AIMMS TRUE AIR SPEED,(m s-1),,,,
957,acloud01_aimms_vertical_wind,AIMMS VERTICAL WIND,(m s-1),,,(neg = up),
958,acloud01_aimms_sideslip_angle,AIMMS SIDESLIP ANGLE,(deg),,,,
960,acloud01_cdp_number_conc,CDP NUMBER CONCENTRATION,(# cm-3),,,,
961,acloud01_cdp_lwc,CDP LIQUID WATER CONTENT,(g cm-3),,,,
962,acloud01_cdp_mvd,CDP MEDIAN VOLUME DIAMETER,(um),,,,
963,acloud01_cdp_ed,CDP EFFECTIVE DIAMETER,(um),,,,
965,bcloud01_pcasp_number_conc,PCASP NUMBER CONCENTRATION,(# cm-3),,,,
966,bcloud01_pcasp_volume_conc,PCASP VOLUME CONCENTRATION,(cm-2 cm-3),,,,
967,bcloud01_pcasp_mvd,PCASP MEDIAN VOLUME DIAMETER,(um),,,,
968,bcloud01_pcasp_ed,PCASP EFFECTIVE DIAMETER,(um),,,,
970,seaprobe_sea_twc,SEAPROBE TOTAL WATER,(gm-3),,,,
971,seaprobe_sea_lwc083,SEAPROBE LIQUID WATER 83,(gm-3),,,,
972,seaprobe_sea_lwc021,SEAPROBE LIQUID WATER 21,(gm-3),,,,
973,seaprobe_ice_water_83,SEAPROBE ICE WATER 83,(gm-3),,,,
974,seaprobe_ice_water_21,SEAPROBE ICE WATER 21,(gm-3),,,,
975,aqdnox01_noy,NOy CONC (AQD),(ppb)
976,aqdnox01_h2s,H2S CONC (AQD),(ppb)
977,virtual_potential_temp,VIRTUAL POTENTIAL TEMPERATURE,(K)
